2019-01-07 21:09:56.466753: I tensorflow/core/common_runtime/process_util.cc:69] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
Training...

batch 0: train=0.550000 test=0.400000
batch 100: train=0.750000 test=0.600000
batch 200: train=0.800000 test=0.750000
batch 300: train=0.700000 test=0.900000
batch 400: train=0.900000 test=0.800000
batch 500: train=0.800000 test=0.750000
batch 600: train=1.000000 test=1.000000
batch 700: train=1.000000 test=0.900000
batch 800: train=0.900000 test=0.900000
batch 900: train=0.900000 test=0.900000
batch 1000: train=0.850000 test=0.850000
batch 1100: train=0.900000 test=0.800000
batch 1200: train=0.900000 test=0.900000
batch 1300: train=0.900000 test=0.900000
batch 1400: train=0.950000 test=0.950000
batch 1500: train=0.950000 test=1.000000
batch 1600: train=0.950000 test=0.800000
batch 1700: train=0.800000 test=0.900000
batch 1800: train=0.900000 test=0.950000
batch 1900: train=1.000000 test=0.950000
batch 2000: train=0.900000 test=0.900000
batch 2100: train=0.950000 test=1.000000
batch 2200: train=1.000000 test=0.850000
batch 2300: train=1.000000 test=0.950000
batch 2400: train=0.900000 test=0.900000
batch 2500: train=0.850000 test=0.950000
batch 2600: train=0.900000 test=1.000000
batch 2700: train=0.850000 test=0.900000
batch 2800: train=0.950000 test=1.000000
batch 2900: train=0.900000 test=1.000000
batch 3000: train=0.950000 test=1.000000
batch 3100: train=0.950000 test=0.950000
batch 3200: train=0.900000 test=0.850000
batch 3300: train=1.000000 test=0.950000
batch 3400: train=0.900000 test=0.900000
batch 3500: train=0.750000 test=0.900000
batch 3600: train=1.000000 test=1.000000
batch 3700: train=0.950000 test=0.850000
batch 3800: train=1.000000 test=0.950000
batch 3900: train=0.900000 test=0.950000
batch 4000: train=0.950000 test=0.950000
batch 4100: train=0.950000 test=1.000000
batch 4200: train=0.950000 test=0.950000
batch 4300: train=1.000000 test=1.000000
batch 4400: train=1.000000 test=0.950000
batch 4500: train=1.000000 test=0.850000
batch 4600: train=0.950000 test=0.950000
batch 4700: train=0.900000 test=0.900000
batch 4800: train=0.950000 test=1.000000
batch 4900: train=0.950000 test=1.000000
batch 5000: train=0.900000 test=0.850000
batch 5100: train=0.850000 test=1.000000
batch 5200: train=0.950000 test=0.950000
batch 5300: train=0.950000 test=0.950000
batch 5400: train=0.950000 test=0.900000
batch 5500: train=0.950000 test=1.000000
batch 5600: train=0.950000 test=1.000000
batch 5700: train=0.900000 test=1.000000
batch 5800: train=0.950000 test=1.000000
batch 5900: train=0.950000 test=0.950000
batch 6000: train=1.000000 test=0.900000
batch 6100: train=1.000000 test=0.900000
batch 6200: train=0.950000 test=1.000000
batch 6300: train=0.850000 test=0.950000
batch 6400: train=0.950000 test=1.000000
batch 6500: train=0.950000 test=1.000000
batch 6600: train=1.000000 test=0.950000
batch 6700: train=1.000000 test=1.000000
batch 6800: train=0.950000 test=0.950000
batch 6900: train=1.000000 test=1.000000
batch 7000: train=0.950000 test=0.950000
batch 7100: train=0.900000 test=0.950000
batch 7200: train=1.000000 test=0.900000
batch 7300: train=1.000000 test=1.000000
batch 7400: train=0.950000 test=0.950000
batch 7500: train=1.000000 test=0.950000
batch 7600: train=0.900000 test=0.900000
batch 7700: train=1.000000 test=1.000000
batch 7800: train=1.000000 test=0.950000
batch 7900: train=1.000000 test=1.000000
batch 8000: train=1.000000 test=0.950000
batch 8100: train=1.000000 test=1.000000
batch 8200: train=1.000000 test=0.950000
batch 8300: train=0.950000 test=0.950000
batch 8400: train=1.000000 test=0.900000
batch 8500: train=0.950000 test=0.950000
batch 8600: train=0.850000 test=1.000000
batch 8700: train=1.000000 test=1.000000
batch 8800: train=1.000000 test=0.900000
batch 8900: train=0.950000 test=1.000000
batch 9000: train=0.950000 test=0.750000
batch 9100: train=1.000000 test=0.950000
batch 9200: train=1.000000 test=1.000000
batch 9300: train=1.000000 test=0.800000
batch 9400: train=1.000000 test=0.900000
batch 9500: train=0.950000 test=0.950000
batch 9600: train=1.000000 test=0.900000
batch 9700: train=1.000000 test=0.950000
batch 9800: train=1.000000 test=1.000000
batch 9900: train=0.900000 test=0.950000
batch 10000: train=0.950000 test=1.000000
batch 10100: train=0.900000 test=1.000000
batch 10200: train=0.950000 test=0.950000
batch 10300: train=1.000000 test=1.000000
batch 10400: train=1.000000 test=1.000000
batch 10500: train=0.950000 test=0.900000
batch 10600: train=0.950000 test=0.950000
batch 10700: train=0.950000 test=0.950000
batch 10800: train=0.900000 test=0.950000
batch 10900: train=0.950000 test=0.900000
batch 11000: train=0.950000 test=0.950000
batch 11100: train=1.000000 test=1.000000
